名称,艺人,价格,日期,时间,地点
【双重圣诞】上海室内电音节 | 坐标MASTER，飞行计划带你置身音乐元宇宙！,艺人：无介绍,99-495 元,2021/12/24,,上海上海市黄浦区淮海中路523号TX淮海五楼MASTER24小时光影艺术互动空间
【双重圣诞】上海室内电音节 | 坐标MASTER，飞行计划带你置身音乐元宇宙！,艺人：无介绍,99-495 元,2021/12/25,,上海上海市黄浦区淮海中路523号TX淮海五楼MASTER24小时光影艺术互动空间
【双重圣诞】上海室内电音节 | 坐标MASTER，飞行计划带你置身音乐元宇宙！,艺人：无介绍,99-495 元,2021/12/26,,上海上海市黄浦区淮海中路523号TX淮海五楼MASTER24小时光影艺术互动空间
2021“爱意暖暖”圣诞特别演唱会-温情圣诞，与爱共暖,艺人：无介绍,180-580 元,2021/12/25,,上海Modernsky lab上海
2022“致爱情”跨年倒计时情歌演唱会-以爱之名，温暖一冬,艺人：无介绍,180-580 元,2021/12/31,,上海万代南梦宫上海文化中心未来剧场
全场畅饮|夜猫Kpop之夜「NCT」周日专场,艺人：无介绍,88-228 元,2022/1/16,20:30,上海MAO Livehouse上海
12.31 | 夜猫俱乐部10小时跨年派对「一年的马拉松」,艺人：无介绍,168-288 元,2021/12/31,,上海MAO Livehouse上海
12.31 | 夜猫俱乐部10小时跨年派对「一年的马拉松」,艺人：无介绍,168-288 元,2022/1/1,,上海MAO Livehouse上海
12.24 [全场畅饮] 奇妙平安夜  上海站,艺人：无介绍,130-260 元,2021/12/24,,上海MAO Livehouse上海
12.24 [全场畅饮] 奇妙平安夜  上海站,艺人：无介绍,130-260 元,2021/12/25,,上海MAO Livehouse上海
【虾米呈现】胡期皓 《告白?皓》（Hi Dalvin）上海站,艺人：胡期皓,150-180 元,2022/1/7,20:00,上海瓦肆 VAS SHANGHAI
[全场畅饮] 跨年派对-如约 19:30场 上海站,艺人：无介绍,160-320 元,2021/12/31,19:30,上海MAO Livehouse上海
LISTEN圣诞CITY POP金曲夜航班,艺人：无介绍,98-256 元,2021/12/24,19:00,上海listen livehouse(158店)
卧虎藏龙：倒数跨年狂欢派对黄金夜,艺人：无介绍,388-488 元,2021/12/31,21:00,上海珍珠剧场The Pearl
阿黛尔&amp;艾美·怀恩豪斯 致敬音乐会,艺人：无介绍,120-150 元,2021/12/29,20:00,上海珍珠剧场The Pearl
Subs张毅成「感谢你还在」巡演上海站,艺人：无介绍,198 元,2022/1/7,20:30,上海Modernsky lab上海
脑浊乐队2021年“FxxK OFF 2020”冬季巡演 上海站,艺人：脑浊乐队,120-330 元,2022/1/15,20:30,上海育音堂(音乐公园店)
全场畅饮｜夜猫俱乐部【枕头大战 睡衣派对】,艺人：无介绍,88-228 元,2022/1/3,20:30,上海MAO Livehouse上海
2021圣诞超级枕头大战—减压神趴15周年巨献，睡衣战袍即刻加冕,艺人：无介绍,168-580 元,2021/12/25,,上海万代南梦宫上海文化中心未来剧场
M_DSK x M-LAB | BrAnTB白景屹「好孩子坏家伙GOOD KID BAD GUY」2021新专辑巡演 上海站,艺人：白景屹,197-237 元,2021/12/26,20:30,上海Modernsky lab上海
夜猫俱乐部KPOP ALL NIGHT Vol.8「你是我路过的那朵花」女团加场,艺人：无介绍,88-228 元,2022/1/2,,上海MAO Livehouse上海
夜猫俱乐部KPOP ALL NIGHT Vol.8「你是我路过的那朵花」女团加场,艺人：无介绍,88-228 元,2022/1/3,,上海MAO Livehouse上海
1.1凌晨 全场畅饮 | 夜猫俱乐部“虎虎生威”新年派对,艺人：无介绍,88-228 元,2022/1/1,1:00,上海MAO Livehouse上海
LOFT BEACH 2021年度巡演上海站,艺人：LOFT BEACH,130 元,2021/12/24,20:30,上海瓦肆 VAS SHANGHAI
圣诞复古派对｜12/25 Vintage ? Big Band ? Swing Dance通往圣诞秘境的时光隧道,艺人：无介绍,220 元,2021/12/25,20:00,上海Blue Note Shanghai
李毅杰 PISSY X Akoma专场,艺人：无介绍,100-150 元,2021/12/24,,上海上海AKOMA CLUB
李毅杰 PISSY X Akoma专场,艺人：无介绍,100-150 元,2021/12/25,,上海上海AKOMA CLUB
【林肯爵士乐上海中心】1231 【跨年特别场】苗梦初五重奏,艺人：无介绍,688-1688 元,2021/12/31,,上海林肯爵士乐上海中心
【林肯爵士乐上海中心】1231 【跨年特别场】苗梦初五重奏,艺人：无介绍,688-1688 元,2022/1/1,,上海林肯爵士乐上海中心
【秀动呈献】第六届 激流胜利日金属音乐节,艺人：无介绍,144-188 元,2021/12/26,15:30,上海MAO Livehouse上海
2021李慧珍「爱死了昨天 Live」全国巡回演唱会 上海站,艺人：李慧珍,338-468 元,2022/1/16,20:00,上海Modernsky lab上海
南游记乐队新年特别专场—上海专场,艺人：南游记乐队,120-150 元,2021/12/26,20:00,上海瓦肆 VAS SHANGHAI
Bad Sweetheart X The Cheers Cheers X 浪味仙贝 X melonboii ｜ 街声寒假成绩单上海站,艺人：无介绍,129-229 元,2022/1/22,20:00,上海MAO Livehouse上海
瓦肆上海圣诞企划VoL.1之「激情的约会」,艺人：无介绍,188 元,2021/12/25,20:00,上海瓦肆 VAS SHANGHAI
【言而无信！】理想后花园 花墙FancyWall 汤乐队联合发声 说到天花乱坠都没用 快来听歌！,艺人：理想后花园、汤乐队、花墙乐队,135-260 元,2022/2/19,20:00,上海MAO Livehouse上海
3月12日 上海 LeeyOn李昂 首张专辑《冥王星漂流日记》全国巡演,艺人：LeeyOn李昂,120-280 元,2022/3/12,20:00,上海Modernsky lab上海
卧虎藏龙：倒数跨年狂欢派对黄金夜,艺人：无介绍,388-488 元,2021/12/31,21:00,上海珍珠剧场The Pearl
【林肯爵士乐上海中心】1222-1223 Byron Hill-Brotherhood Funktion 1930-2130,艺人：无介绍,168-488 元,2021/12/23,,上海林肯爵士乐上海中心
【林肯爵士乐上海中心】1212 &amp; 1226 JALCSH Big Band 1930-2130,艺人：无介绍,220-518 元,2021/12/26,,上海林肯爵士乐上海中心
苏阳 戏班乐队 「南腔北调」联合演出,艺人：戏班乐队、苏阳,200 元,2022/1/3,20:00,上海Modernsky lab上海
全场畅饮｜夜猫俱乐部「青春回忆ktv之华语金曲」,艺人：无介绍,88-228 元,2022/1/8,,上海MAO Livehouse上海
全场畅饮｜夜猫俱乐部「青春回忆ktv之华语金曲」,艺人：无介绍,88-228 元,2022/1/9,,上海MAO Livehouse上海
01.02【1.1—1.2】鸡皮疙瘩音乐节 2022,艺人：无介绍,280 元,2022/1/2,18:00,上海Modernsky lab上海
Subs张毅成「感谢你还在」巡演上海站,艺人：无介绍,198 元,2022/1/7,20:30,上海Modernsky lab上海
李上安2021「不 改变」巡演 上海站,艺人：李上安,130-150 元,2022/1/8,20:30,上海MAO Livehouse上海
全场畅饮｜夜猫俱乐部—我去2000年 Y2K千禧派对,艺人：无介绍,88-228 元,2022/1/1,,上海MAO Livehouse上海
全场畅饮｜夜猫俱乐部—我去2000年 Y2K千禧派对,艺人：无介绍,88-228 元,2022/1/2,,上海MAO Livehouse上海
2021-2022徐海俏《空》新专辑全国巡演-上海站,艺人：徐海俏,99-160 元,2022/1/9,20:00,上海MAO Livehouse上海
城市新声场,艺人：REVIVAL、蘑菇团、魏宏宇,158-188 元,2021/12/25,20:00,上海THE BOXX城市乐园
珍珠联盟：Red Box 卡巴莱群星闪耀狂欢夜,艺人：无介绍,188 元,2021/12/23,,上海珍珠剧场The Pearl
复古王牌之夜：乐返80年代金曲合辑,艺人：无介绍,100 元,2021/12/23,21:30,上海珍珠剧场The Pearl
“时间总比想象中的快”隔离岛乐队圣诞专场,艺人：无介绍,110 元,2021/12/24,20:30,上海育音堂(凯旋路店)
【摇滚兄弟呈现】没有理想的人不伤心 理想后花园+葡萄不愤怒+怪兽计划,艺人：无介绍,150 元,2022/3/25,20:00,上海Modernsky lab上海
全场畅饮|夜猫Kpop之夜「AOA」周日专场,艺人：无介绍,88-228 元,2022/2/20,20:30,上海MAO Livehouse上海
全场畅饮|夜猫Kpop之夜「Girl's Day」周日专场,艺人：无介绍,88-228 元,2022/2/27,20:30,上海MAO Livehouse上海
【上海站】12.24-12.25 EVC电音节×NEVERLAND丨圣诞孤岛惊魂，从夜晚到清晨,艺人：无介绍,128-368 元,2021/12/24,,上海万代南梦宫上海文化中心
【上海站】12.24-12.25 EVC电音节×NEVERLAND丨圣诞孤岛惊魂，从夜晚到清晨,艺人：无介绍,128-368 元,2021/12/25,,上海万代南梦宫上海文化中心
【上海站】12.24-12.25 EVC电音节×NEVERLAND丨圣诞孤岛惊魂，从夜晚到清晨,艺人：无介绍,128-368 元,2021/12/26,,上海万代南梦宫上海文化中心
【林肯爵士乐上海中心】0101-0102 新年音乐剧 《Something Old &amp; Something New》,艺人：无介绍,298-788 元,2022/1/1,,上海林肯爵士乐上海中心
【林肯爵士乐上海中心】0101-0102 新年音乐剧 《Something Old &amp; Something New》,艺人：无介绍,298-788 元,2022/1/2,,上海林肯爵士乐上海中心
暖冬一夜,艺人：无介绍,60 元,2021/12/26,20:30,上海育音堂(凯旋路店)
尚东峰「穿过风和山和海洋」2021巡演 上海站,艺人：无介绍,90-160 元,2021/12/30,20:00,上海育音堂(凯旋路店)
2022 WAGF指弹嘉年华 上海站,艺人：无介绍,180-280 元,2022/1/1,14:00,上海Blue Note Shanghai
